Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Haiti,3901139,1900094,2001044,4680812,2286026,2394786,5646676,2772769,2873908,6925331,3424381,3500949,8360225,4150198,4210027,9842880,4890743,4952137,11306801,5605395,5701407,11584996,5738710,5846285
Hungary,9983967,4816675,5167291,10337910,5010035,5327875,10711122,5188083,5523039,10373988,4981614,5392374,10210971,4859206,5351765,10000023,4750174,5249848,9750149,4672304,5077844,9643048,4629668,5013379
Indonesia,88382881,44084045,44298836,115228394,57502387,57726007,148177096,74074893,74102204,182159874,91388784,90771091,214072421,107664942,106407480,244016173,122882663,121133510,271857970,136927582,134930389,275501339,138703277,136798063
Isle of Man,48793,22394,26399,55298,25913,29384,64022,30574,33449,68865,33211,35654,75562,36936,38626,83828,41621,42206,84046,41630,42415,84519,41859,42660
India,445954579,230135579,215819000,557501301,288292405,269208897,696828385,360875327,335953058,870452165,449984059,420468106,1059633675,548223581,511410095,1240613620,641566029,599047591,1396387127,720997448,675389679,1417173173,731180498,685992675
Ireland,2828600,1422204,1406396,2957250,1484077,1473173,3412800,1713344,1699456,3513974,1745955,1768019,3805174,1890633,1914541,4560155,2264844,2295311,4985382,2469767,2515614,5127170,2541063,2586107
"Iran, Islamic Rep.",21388806,10975523,10413283,28449705,14664691,13785014,38520664,19842442,18678222,55793629,28471683,27321946,65544383,33235518,32308864,75373855,38301112,37072743,87290193,44134884,43155308,88550570,44714592,43835978
Iraq,7084678,3501934,3582744,9811347,4861123,4950225,13653369,6794916,6858453,17658381,8708041,8950340,24628858,12245808,12383050,31264875,15555695,15709180,42556984,21297577,21259406,44496122,22290370,22205751
Iceland,175574,88692,86883,204438,103376,101061,228138,114986,113152,254826,127908,126918,281205,140748,140457,318041,159964,158077,366463,187982,178482,382003,195800,186202
Israel,2114020,1067329,1046691,2974000,1487627,1486372,3878000,1927766,1950235,4660000,2295386,2364614,6289000,3099279,3189721,7623600,3772673,3850926,9215100,4592300,4622801,9557500,4767057,4790443
Italy,50199700,24345052,25854648,53821850,26164656,27657194,56433883,27409982,29023901,56719240,27515574,29203666,56942108,27550271,29391838,59277417,28692324,30585093,59438851,28957843,30481007,58940425,28741550,30198875
Jamaica,1642331,779985,862346,1859091,899653,959438,2135546,1040458,1095088,2392030,1174572,1217457,2612205,1293403,1318802,2733896,1355508,1378388,2820436,1399668,1420767,2827377,1402379,1424998
Jordan,847936,434026,413911,1557374,796630,760744,2216903,1135876,1081027,3480587,1786576,1694011,5056174,2625119,2431055,6931258,3564227,3367031,10928721,5670775,5257947,11285869,5846915,5438953
Japan,93216000,45781584,47434416,103403000,50889572,52513428,116807000,57600950,59206049,123478000,60749784,62728216,126843000,62126711,64716290,128070000,62397763,65672237,126261000,61375600,64885399,125124989,60810077,64314912
Kazakhstan,9319283,4497817,4821466,12265305,5922297,6343008,14172710,6835318,7337393,16348000,7865151,8482848,14883626,7086252,7797373,16321872,7769735,8552136,18755666,9012624,9743042,19621972,9442885,10179087
Kenya,7751435,3840900,3910535,11473087,5672788,5800300,16187124,8005859,8181266,23162269,11469606,11692664,30851606,15293161,15558445,41517895,20642895,20875000,51985780,25780698,26205082,54027487,26777549,27249938
Kyrgyz Republic,2172300,1044624,1127676,2959900,1435714,1524186,3617400,1767791,1849610,4391200,2116993,2274207,4898400,2386115,2512284,5447900,2663183,2784718,6579900,3231211,3348689,6974900,3424555,3550345
Cambodia,5541676,2765763,2775913,6708525,3328633,3379892,6198959,2864782,3334177,8910808,4249932,4660876,12118841,5956510,6162331,14363532,7104881,7258651,16396860,8115527,8281334,16767842,8299527,8468316
Kiribati,47093,23195,23897,57437,28445,28991,60813,30203,30610,75124,37111,38013,88826,43680,45145,107995,52840,55156,126463,61495,64968,131232,63943,67289
St. Kitts and Nevis,56660,26442,30218,44968,21152,23816,43097,20732,22366,40636,19918,20718,45461,22575,22887,47403,23310,24093,47642,23072,24570,47657,23011,24646
"Korea, Rep.",25012374,12523036,12489338,32240827,16217206,16023621,38123775,19112458,19011317,42869283,21522813,21346470,47008111,23622809,23385302,49554112,24701859,24852253,51836239,25897329,25938911,51628117,25773753,25854364
